temp.rundb_YCSB_brown_ext_ist_lf.txt, 192, 0.01, [summary] txn_cnt=18496690, abort_cnt=8823, run_time=868.355706, time_wait=0.000000, time_ts_alloc=0.000000, time_man=0.000000, time_index=0.000000, time_abort=0.000000, time_cleanup=0.000000, latency=0.000000, deadlock_cnt=0, cycle_detect=0, dl_detect_time=0.000000, dl_wait_time=0.000000, time_query=0.000000, debug1=0.000000, debug2=0.000000, debug3=0.000000, debug4=0.000000, debug5=0.000000, ixNumContains=295998293, ixTimeContains=296.652622, ixNumInsert=0, ixTimeInsert=0.000000, ixNumRangeQuery=0, ixTimeRangeQuery=0.000000, ixTotalOps=295998293, ixTotalTime=296.652622, ixThroughput=191576504.207174, nthreads=192, throughput=4089757.749607, node_size=0, descriptor_size=0
temp.rundb_YCSB_bronson_pext_bst_occ.txt, 24, 0.1, [summary] txn_cnt=2368485, abort_cnt=125, run_time=105.350550, time_wait=0.000000, time_ts_alloc=0.000000, time_man=0.000000, time_index=0.000000, time_abort=0.000000, time_cleanup=0.000000, latency=0.000000, deadlock_cnt=0, cycle_detect=0, dl_detect_time=0.000000, dl_wait_time=0.000000, time_query=0.000000, debug1=0.000000, debug2=0.000000, debug3=0.000000, debug4=0.000000, debug5=0.000000, ixNumContains=37896174, ixTimeContains=79.085134, ixNumInsert=0, ixTimeInsert=0.000000, ixNumRangeQuery=0, ixTimeRangeQuery=0.000000, ixTotalOps=37896174, ixTotalTime=79.085134, ixThroughput=11500368.455576, nthreads=24, throughput=539566.620614, node_size=0, descriptor_size=0
temp.rundb_YCSB_brown_ext_abtree_lf.txt, 24, 0.1, [summary] txn_cnt=2370236, abort_cnt=38, run_time=62.852763, time_wait=0.000000, time_ts_alloc=0.000000, time_man=0.000000, time_index=0.000000, time_abort=0.000000, time_cleanup=0.000000, latency=0.000000, deadlock_cnt=0, cycle_detect=0, dl_detect_time=0.000000, dl_wait_time=0.000000, time_query=0.000000, debug1=0.000000, debug2=0.000000, debug3=0.000000, debug4=0.000000, debug5=0.000000, ixNumContains=37924121, ixTimeContains=32.178440, ixNumInsert=0, ixTimeInsert=0.000000, ixNumRangeQuery=0, ixTimeRangeQuery=0.000000, ixTotalOps=37924121, ixTotalTime=32.178440, ixThroughput=28285364.824705, nthreads=24, throughput=905062.264572, node_size=0, descriptor_size=0
temp.rundb_YCSB_brown_ext_ist_lf.txt, 24, 0.1, [summary] txn_cnt=2371624, abort_cnt=47, run_time=52.985442, time_wait=0.000000, time_ts_alloc=0.000000, time_man=0.000000, time_index=0.000000, time_abort=0.000000, time_cleanup=0.000000, latency=0.000000, deadlock_cnt=0, cycle_detect=0, dl_detect_time=0.000000, dl_wait_time=0.000000, time_query=0.000000, debug1=0.000000, debug2=0.000000, debug3=0.000000, debug4=0.000000, debug5=0.000000, ixNumContains=37946314, ixTimeContains=19.605988, ixNumInsert=0, ixTimeInsert=0.000000, ixNumRangeQuery=0, ixTimeRangeQuery=0.000000, ixTotalOps=37946314, ixTotalTime=19.605988, ixThroughput=46450684.248668, nthreads=24, throughput=1074238.010370, node_size=0, descriptor_size=0
temp.rundb_YCSB_bronson_pext_bst_occ.txt, 48, 0.1, [summary] txn_cnt=4727629, abort_cnt=539, run_time=328.312108, time_wait=0.000000, time_ts_alloc=0.000000, time_man=0.000000, time_index=0.000000, time_abort=0.000000, time_cleanup=0.000000, latency=0.000000, deadlock_cnt=0, cycle_detect=0, dl_detect_time=0.000000, dl_wait_time=0.000000, time_query=0.000000, debug1=0.000000, debug2=0.000000, debug3=0.000000, debug4=0.000000, debug5=0.000000, ixNumContains=75645089, ixTimeContains=236.458328, ixNumInsert=0, ixTimeInsert=0.000000, ixNumRangeQuery=0, ixTimeRangeQuery=0.000000, ixTotalOps=75645089, ixTotalTime=236.458328, ixThroughput=15355620.149808, nthreads=48, throughput=691190.444605, node_size=0, descriptor_size=0
temp.rundb_YCSB_brown_ext_abtree_lf.txt, 48, 0.1, [summary] txn_cnt=4720615, abort_cnt=900, run_time=217.553397, time_wait=0.000000, time_ts_alloc=0.000000, time_man=0.000000, time_index=0.000000, time_abort=0.000000, time_cleanup=0.000000, latency=0.000000, deadlock_cnt=0, cycle_detect=0, dl_detect_time=0.000000, dl_wait_time=0.000000, time_query=0.000000, debug1=0.000000, debug2=0.000000, debug3=0.000000, debug4=0.000000, debug5=0.000000, ixNumContains=75532986, ixTimeContains=96.899764, ixNumInsert=0, ixTimeInsert=0.000000, ixNumRangeQuery=0, ixTimeRangeQuery=0.000000, ixTotalOps=75532986, ixTotalTime=96.899764, ixThroughput=37415811.777086, nthreads=48, throughput=1041535.197185, node_size=0, descriptor_size=0
temp.rundb_YCSB_brown_ext_ist_lf.txt, 48, 0.1, [summary] txn_cnt=4677870, abort_cnt=248, run_time=184.740758, time_wait=0.000000, time_ts_alloc=0.000000, time_man=0.000000, time_index=0.000000, time_abort=0.000000, time_cleanup=0.000000, latency=0.000000, deadlock_cnt=0, cycle_detect=0, dl_detect_time=0.000000, dl_wait_time=0.000000, time_query=0.000000, debug1=0.000000, debug2=0.000000, debug3=0.000000, debug4=0.000000, debug5=0.000000, ixNumContains=74848362, ixTimeContains=58.600519, ixNumInsert=0, ixTimeInsert=0.000000, ixNumRangeQuery=0, ixTimeRangeQuery=0.000000, ixTotalOps=74848362, ixTotalTime=58.600519, ixThroughput=61308695.436122, nthreads=48, throughput=1215420.802177, node_size=0, descriptor_size=0
temp.rundb_YCSB_bronson_pext_bst_occ.txt, 96, 0.1, [summary] txn_cnt=9380402, abort_cnt=1977, run_time=730.909325, time_wait=0.000000, time_ts_alloc=0.000000, time_man=0.000000, time_index=0.000000, time_abort=0.000000, time_cleanup=0.000000, latency=0.000000, deadlock_cnt=0, cycle_detect=0, dl_detect_time=0.000000, dl_wait_time=0.000000, time_query=0.000000, debug1=0.000000, debug2=0.000000, debug3=0.000000, debug4=0.000000, debug5=0.000000, ixNumContains=150096380, ixTimeContains=515.637546, ixNumInsert=0, ixTimeInsert=0.000000, ixNumRangeQuery=0, ixTimeRangeQuery=0.000000, ixTotalOps=150096380, ixTotalTime=515.637546, ixThroughput=27944537.002075, nthreads=96, throughput=1232052.404944, node_size=0, descriptor_size=0
temp.rundb_YCSB_brown_ext_abtree_lf.txt, 96, 0.1, [summary] txn_cnt=9381400, abort_cnt=2732, run_time=512.551964, time_wait=0.000000, time_ts_alloc=0.000000, time_man=0.000000, time_index=0.000000, time_abort=0.000000, time_cleanup=0.000000, latency=0.000000, deadlock_cnt=0, cycle_detect=0, dl_detect_time=0.000000, dl_wait_time=0.000000, time_query=0.000000, debug1=0.000000, debug2=0.000000, debug3=0.000000, debug4=0.000000, debug5=0.000000, ixNumContains=150114800, ixTimeContains=210.799133, ixNumInsert=0, ixTimeInsert=0.000000, ixNumRangeQuery=0, ixTimeRangeQuery=0.000000, ixTotalOps=150114800, ixTotalTime=210.799133, ixThroughput=68363757.585374, nthreads=96, throughput=1757118.229807, node_size=0, descriptor_size=0
temp.rundb_YCSB_brown_ext_ist_lf.txt, 96, 0.1, [summary] txn_cnt=9417503, abort_cnt=2593, run_time=455.957265, time_wait=0.000000, time_ts_alloc=0.000000, time_man=0.000000, time_index=0.000000, time_abort=0.000000, time_cleanup=0.000000, latency=0.000000, deadlock_cnt=0, cycle_detect=0, dl_detect_time=0.000000, dl_wait_time=0.000000, time_query=0.000000, debug1=0.000000, debug2=0.000000, debug3=0.000000, debug4=0.000000, debug5=0.000000, ixNumContains=150693786, ixTimeContains=138.456197, ixNumInsert=0, ixTimeInsert=0.000000, ixNumRangeQuery=0, ixTimeRangeQuery=0.000000, ixTotalOps=150693786, ixTotalTime=138.456197, ixThroughput=104485055.757547, nthreads=96, throughput=1982818.035106, node_size=0, descriptor_size=0
